numberOfRefactoryInACommit,numberOfCombination
0,1273
1,280
2,155
3,87
4,78
5,55
6,34
7,20
8,19
9,20
10,10
11,5
12,12
13,4
14,8
15,3
16,6
17,5
18,1
19,6
20,2
22,1
23,2
24,1
26,2
27,1
30,1
39,1
50,1
