type of refactory in a commit,the number of commit
0,1788
1,219
2,149
3,80
4,61
5,33
6,22
7,23
8,23
9,13
10,23
11,11
12,8
13,10
14,6
15,5
16,7
17,4
18,3
19,4
20,1
21,1
22,1
23,3
24,4
25,7
26,2
28,1
30,1
31,1
32,1
33,2
35,1
37,1
39,1
42,1
45,1
48,1
51,1
60,2
62,1
64,2
72,1
94,1
123,1
127,1
