numberOfRefactoryInACommit,numberOfCombination
0,2531
1,327
2,137
3,76
4,60
5,43
6,41
7,26
8,32
9,17
10,18
11,12
12,11
13,13
14,6
15,12
16,4
17,4
18,4
19,2
20,5
21,4
22,3
23,3
24,2
26,1
28,2
32,1
