type of refactory in a commit,the number of commit
0,4514
1,382
2,191
3,126
4,88
5,77
6,57
7,44
8,47
9,24
10,23
11,19
12,14
13,17
14,17
15,15
16,13
17,18
18,12
19,11
20,10
21,10
22,6
23,5
24,9
25,8
26,4
27,8
28,8
29,4
30,4
31,2
32,3
33,1
34,6
35,3
36,1
38,3
39,2
40,1
41,2
43,4
44,1
45,2
46,2
47,3
48,1
49,1
50,1
51,4
52,1
54,2
55,2
58,2
60,2
61,1
62,1
65,2
77,1
80,2
84,1
87,1
89,1
90,2
96,1
97,1
98,1
118,1
132,1
136,1
137,1
138,1
141,1
143,1
159,1
184,1
186,1
196,1
220,1
257,1
274,1
