numberOfRefactoryInACommit,numberOfCombination
0,2239
1,377
2,142
3,76
4,58
5,40
6,17
7,14
8,11
9,9
10,9
11,7
12,4
13,3
14,3
15,1
16,5
17,1
18,2
21,3
23,1
27,1
