numberOfRefactoryInACommit,numberOfCombination
0,1314
1,332
2,149
3,97
4,55
5,46
37,1
6,22
7,19
8,18
9,15
10,10
11,7
12,7
13,4
14,1
16,1
17,1
18,2
22,3
23,1
24,1
29,1
31,1
