numberOfRefactoryInACommit,numberOfCombination
0,1602
1,277
2,157
3,98
4,61
5,49
6,34
7,23
8,25
9,13
10,7
11,12
12,8
13,4
14,6
15,4
16,1
17,3
18,1
19,2
20,2
21,1
22,1
23,1
25,1
27,1
