numberOfRefactoryInACommit,numberOfCombination
0,3604
1,419
2,200
3,101
4,75
5,59
6,46
7,22
8,24
9,11
10,12
11,9
12,1
13,5
14,3
15,3
16,4
17,1
18,2
19,2
20,1
23,1
25,1
28,1
32,1
34,1
