numberOfRefactoryInACommit,numberOfCombination
0,2106
1,607
2,273
3,206
4,117
5,96
6,87
7,59
8,50
9,35
10,25
11,27
12,17
13,26
14,10
15,6
16,17
17,6
18,4
19,7
20,1
21,2
22,2
23,2
24,5
25,4
26,5
28,2
30,1
32,2
34,1
39,1
50,1
