type of refactory in a commit,the number of commit
0,3652
1,394
2,176
3,98
4,77
5,43
6,36
7,31
8,21
9,21
10,17
11,11
12,14
13,4
14,9
15,1
16,8
17,6
18,4
19,4
20,4
21,5
22,3
23,8
24,5
25,1
26,3
27,1
28,4
29,1
30,2
31,2
32,1
33,4
34,2
35,3
36,1
38,1
40,1
43,1
44,1
45,1
46,1
48,1
53,1
55,1
57,1
58,2
60,1
76,1
80,1
82,1
88,1
103,1
115,1
131,1
136,1
137,1
141,1
150,1
165,1
182,1
185,1
317,1
371,1
382,1
943,1
4693,1
