numberOfRefactoryInACommit,numberOfCombination
0,1759
1,394
2,215
3,131
4,97
5,80
6,49
7,59
8,34
9,26
10,30
11,12
12,15
13,11
14,12
15,8
16,2
17,5
18,7
19,7
20,4
21,3
23,1
24,1
25,1
29,1
30,1
32,1
33,1
