numberOfRefactoryInACommit,numberOfCombination
0,3760
1,788
2,292
3,153
4,96
5,60
6,43
7,40
8,24
9,16
10,18
11,7
12,7
13,5
14,3
15,4
16,5
17,1
18,2
19,4
20,2
22,2
23,2
24,1
25,2
27,1
28,1
29,1
