numberOfRefactoryInACommit,numberOfCombination
0,3238
1,476
2,216
3,124
4,91
5,53
6,62
7,35
8,31
9,20
10,11
11,11
12,17
13,7
14,10
15,2
16,8
17,3
18,6
19,1
20,3
21,2
22,3
24,1
25,1
26,2
29,1
33,1
34,1
