numberOfRefactoryInACommit,numberOfCombination
0,2351
1,313
2,123
3,80
35,1
4,48
5,38
6,16
7,15
8,10
9,7
41,1
10,3
11,8
44,1
13,4
45,1
14,1
16,4
17,2
18,1
20,1
23,1
26,1
