type of refactory in a commit,the number of commit
0,2573
1,206
2,88
3,47
4,28
5,20
6,16
7,11
8,8
9,9
10,2
11,4
12,5
13,2
14,3
15,5
16,2
17,1
18,2
19,4
20,1
21,1
23,1
24,1
25,1
27,2
28,1
30,1
31,1
33,1
35,3
36,1
38,1
40,1
41,3
43,1
44,1
45,2
54,1
67,1
93,1
110,1
111,1
120,1
168,1
195,1
217,1
3491,1
