numberOfRefactoryInACommit,numberOfCombination
0,1435
1,97
2,35
3,18
4,17
5,7
6,6
7,5
8,5
9,6
10,3
11,3
12,2
13,3
15,1
16,3
17,3
18,1
19,1
21,2
22,1
24,1
26,1
