name,number
Add Method Annotation,233
Merge Attribute,2
Localize Parameter,24
Move And Rename Method,61
Extract Subclass,6
Remove Parameter Modifier,22
Collapse Hierarchy,1
Move Source Folder,5
Pull Up Attribute,109
Move Attribute,223
Move Class,543
Move And Rename Class,70
Replace Attribute With Variable,48
Extract Variable,411
Inline Variable,242
Split Attribute,7
Rename Method,944
Modify Parameter Annotation,15
Reorder Parameter,19
Change Method Access Modifier,804
Remove Parameter Annotation,4
Replace Variable With Attribute,40
Extract And Move Method,107
Rename Package,7
Add Parameter Modifier,314
Push Down Attribute,21
Remove Method Annotation,171
Merge Parameter,13
Encapsulate Attribute,149
Remove Method Modifier,192
Move And Rename Attribute,9
Change Variable Type,1332
Replace Loop With Pipeline,1
Add Thrown Exception Type,170
Parameterize Attribute,13
Push Down Method,84
Add Variable Modifier,2524
Add Parameter,580
Inline Method,239
Rename Variable,502
Add Attribute Modifier,243
Add Attribute Annotation,15
Rename Attribute,469
Extract Superclass,45
Change Class Access Modifier,103
Change Type Declaration Kind,9
Modify Method Annotation,2
Add Parameter Annotation,24
Move Package,9
Change Parameter Type,1132
Remove Class Modifier,31
Rename Class,274
Remove Variable Modifier,143
Extract Attribute,104
Remove Parameter,413
Change Thrown Exception Type,228
Merge Variable,7
Add Class Annotation,21
Change Attribute Access Modifier,528
Parameterize Variable,51
Remove Attribute Modifier,74
Modify Class Annotation,1
Add Variable Annotation,11
Add Class Modifier,38
Split Class,4
Move And Inline Method,35
Move Method,389
Add Method Modifier,206
Extract Class,50
Split Parameter,17
Extract Method,579
Replace Attribute,1
Pull Up Method,325
Inline Attribute,1
Change Return Type,738
Remove Attribute Annotation,5
Remove Thrown Exception Type,131
Merge Class,5
Extract Interface,31
Change Attribute Type,602
Remove Class Annotation,11
Remove Variable Annotation,1
Rename Parameter,700
