time,File
200204,23
200205,4
200208,4
200209,0
200211,0
200301,11
200304,0
200305,0
200308,0
200312,0
200401,4
200402,0
200404,4
200409,1
200412,2
200501,4
200502,1
200504,2
200601,0
200608,7
200609,0
200611,0
200612,0
200802,0
200803,6
200804,3
200805,2
200808,0
200810,0
200902,3
200903,0
200904,1
200905,0
201001,1
201003,1
201004,0
201005,0
201007,0
201009,0
201010,0
201011,0
201102,0
201103,3
201104,0
201106,0
201108,0
201111,0
201201,0
201202,0
201203,14
201208,0
201209,0
201210,0
201211,0
201212,0
201301,1
201306,1
201307,0
201309,0
201312,0
201401,0
201402,0
201403,0
201404,1
201405,0
201407,0
201410,0
201411,0
201412,0
201501,3
201506,0
201508,0
201510,0
201601,0
201604,2
201606,0
201607,1
201610,1
201702,1
201703,0
201704,0
201810,0
201812,0
201905,0
201911,0
202006,0
202009,55
202010,1
202011,1
202012,22
202101,2
202102,6
202107,0
202108,2
202110,0
202112,0
202201,0
202203,0
202207,0
202208,0
202210,2
202211,8
202301,1
202306,4
202307,5
202308,4
202309,17
202310,5
202311,13
202312,1
202401,3
202402,12
