time,FileRBR
200506,14
200507,40
200508,184
200509,80
200510,5
200511,36
200512,30
200601,48
200602,37
200603,18
200604,219
200605,180
200606,118
200607,98
200608,48
200609,53
200610,150
200611,21
200612,112
200701,65
200702,92
200703,324
200704,86
200705,2933
200706,280
200707,118
200708,15
200709,6
200710,1
200711,188
200802,1
200804,0
200805,0
200806,4
200809,37
200810,4
200812,2
200902,2
200903,29
200904,0
200905,0
200906,33
200907,30
200909,46
200910,136
200912,1
201001,1643
201002,16
201003,5
201004,6
201008,4
201009,11
201011,24
201012,9
201104,1
201106,10
201107,3
201108,25
201111,39
201201,9
201202,8
201205,73
201209,2
201304,832
201305,1
201306,896
201307,48
201308,11
201309,2
201310,0
201311,2
201312,38
201401,9
201402,1
201403,2
201404,109
201405,20
201406,22
201407,18
201408,42
201409,5
201501,1
201505,1
201510,0
201601,0
201708,2
201710,3
201711,0
201802,0
201803,0
201808,0
201809,4
201810,4
201812,59
201901,17
201904,0
201905,0
201907,4
201911,44
201912,3
202003,0
202007,19
202009,12
202012,13
202101,1
202102,1
202103,107
202105,1
202106,0
202107,8
202108,136
202109,5
202110,27
202112,6
202206,12
202303,46
