time,refactFileRBR
200307,2
200308,0
200309,2
200310,1
200311,0
200312,0
200401,1
200402,0
200403,1
200404,1
200406,0
200505,1
200506,2
200507,5
200508,2
200509,7
200510,0
200511,2
200512,12
200601,1
200602,1
200603,1
200605,7
200606,3
200607,0
200608,2
200609,12
200610,14
200611,2
200612,1
200701,0
200703,0
200704,2
200705,2
200706,7
200707,1
200708,11
200709,19
200710,18
200711,4
200712,5
200801,3
200802,1
200803,4
200804,1
200805,0
200806,0
200807,1
200809,3
200811,12
200812,3
200901,2
200902,1
200903,0
200907,0
200908,1
200912,0
201001,1
201002,1
201003,3
201004,0
201005,0
201006,0
201007,2
201008,1
201009,3
201010,7
201011,0
201012,0
201101,0
201104,1
201105,2
201107,1
201108,36
201109,4
201110,0
201111,1
201112,2
201202,2
201203,3
201204,7
201205,2
201206,3
201207,1
201208,0
201209,19
201303,0
201304,1
201305,3
201306,6
201307,2
201310,2
201312,3
201403,1
201412,1
201501,1
201506,1
201603,3
201609,10
201812,1
201901,1
202001,1
202012,1
202304,1
