time,refactFileRBR
201109,0
201110,10
201111,10
201112,11
201201,38
201202,2
201203,5
201204,5
201205,10
201206,11
201207,7
201208,14
201209,4
201210,31
201211,9
201212,10
201301,2
201302,11
201303,8
201304,3
201305,20
201306,0
201307,0
201308,4
201310,5
201311,0
201312,4
201401,10
201402,3
201403,3
201404,4
201405,6
201406,6
201407,15
201408,3
201409,8
201410,1
201411,0
201412,6
201501,1
201502,8
201503,25
201504,2
201505,9
201506,0
201507,2
201508,6
201509,11
201510,16
201511,110
201512,52
201601,623
201602,31
201603,32
201604,10
201605,3
201606,3
201607,7
201608,14
201609,59
201610,22
201611,14
201612,23
201701,53
201702,11
201703,12
201704,49
201705,91
201706,5
201707,22
201708,12
201709,4
201710,4
201711,6
201712,5
201801,9
201802,15
201803,30
201804,9
201805,0
201806,17
201807,36
201808,4
201809,8
201810,2
201811,3
201812,8
201901,0
201902,1
201903,4
201904,0
201905,0
201906,52
201907,237
201908,122
201909,1
201910,1
201911,2
201912,10
202001,0
202002,0
202003,0
202004,10
202005,1
202006,7
202007,2
202008,14
202009,2
202010,3
202011,2
202012,1
202101,9
202102,0
202103,1
202104,1
202105,1
202106,7
202107,0
202108,4
202109,1
202110,1
202203,0
202204,11
202206,152
202303,1
202304,7
202306,11
202308,22
202309,6
202310,2
202312,21
202401,111
