element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
test/pig/datafu/test/pig/sampling/SamplingTests.java\datafu.test.pig.sampling.SamplingTests,2014/3/4 11:35,2013/6/25 9:10,Move Source Folder,778bef1eb64173891565a4c9ea15501619388aa60,Extract Class,c9b4f76181c1ee892442969cc9d28537b6eba65e1,778bef1eb64173891565a4c9ea15501619388aa6,c9b4f76181c1ee892442969cc9d28537b6eba65e,778bef1eb64173891565a4c9ea15501619388aa60c9b4f76181c1ee892442969cc9d28537b6eba65e1
test/pig/datafu/test/pig/sets/SetTests.java\datafu.test.pig.sets.SetTests,2014/3/4 11:35,2013/7/8 2:25,Move Source Folder,778bef1eb64173891565a4c9ea15501619388aa60,Move Class,4cb1ea85c37e1efccba292aef39527c56ccbecb03,778bef1eb64173891565a4c9ea15501619388aa6,4cb1ea85c37e1efccba292aef39527c56ccbecb0,778bef1eb64173891565a4c9ea15501619388aa604cb1ea85c37e1efccba292aef39527c56ccbecb03
test/pig/datafu/test/pig/stats/entropy/EmpiricalCountEntropyTests.java\datafu.test.pig.stats.entropy.EmpiricalCountEntropyTests,2014/3/4 11:35,2014/3/4 2:29,Move Source Folder,778bef1eb64173891565a4c9ea15501619388aa60,Extract Class,4aa2ef2a425dab3e3d5f5bdacf095af0b18fb99314,778bef1eb64173891565a4c9ea15501619388aa6,4aa2ef2a425dab3e3d5f5bdacf095af0b18fb993,778bef1eb64173891565a4c9ea15501619388aa604aa2ef2a425dab3e3d5f5bdacf095af0b18fb99314
test/pig/datafu/test/pig/stats/entropy/EntropyTests.java\datafu.test.pig.stats.entropy.EntropyTests,2014/3/4 11:35,2014/3/4 2:29,Move Source Folder,778bef1eb64173891565a4c9ea15501619388aa60,Extract Class,4aa2ef2a425dab3e3d5f5bdacf095af0b18fb99314,778bef1eb64173891565a4c9ea15501619388aa6,4aa2ef2a425dab3e3d5f5bdacf095af0b18fb993,778bef1eb64173891565a4c9ea15501619388aa604aa2ef2a425dab3e3d5f5bdacf095af0b18fb99314
src/java/datafu/pig/bags/DistinctBy.java\public accumulate(input Tuple) : void,2014/2/19 5:18,2013/7/24 5:19,Change Variable Type,d4a5c5d434c33c6b614ae08ee4179661fda0d3581,Rename Method,70f1c738c165a22a22e6ce58b18db7649e9962010,d4a5c5d434c33c6b614ae08ee4179661fda0d358,70f1c738c165a22a22e6ce58b18db7649e996201,d4a5c5d434c33c6b614ae08ee4179661fda0d358170f1c738c165a22a22e6ce58b18db7649e9962010
src/java/datafu/pig/bags/DistinctBy.java\public accumulate(input Tuple) : void,2014/2/19 5:18,2013/7/24 5:19,Change Variable Type,d4a5c5d434c33c6b614ae08ee4179661fda0d3581,Change Return Type,70f1c738c165a22a22e6ce58b18db7649e9962011,d4a5c5d434c33c6b614ae08ee4179661fda0d358,70f1c738c165a22a22e6ce58b18db7649e996201,d4a5c5d434c33c6b614ae08ee4179661fda0d358170f1c738c165a22a22e6ce58b18db7649e9962011
src/java/datafu/pig/bags/DistinctBy.java\public accumulate(input Tuple) : void,2014/2/19 5:18,2013/7/24 5:19,Rename Variable,d4a5c5d434c33c6b614ae08ee4179661fda0d3582,Rename Method,70f1c738c165a22a22e6ce58b18db7649e9962010,d4a5c5d434c33c6b614ae08ee4179661fda0d358,70f1c738c165a22a22e6ce58b18db7649e996201,d4a5c5d434c33c6b614ae08ee4179661fda0d358270f1c738c165a22a22e6ce58b18db7649e9962010
src/java/datafu/pig/bags/DistinctBy.java\public accumulate(input Tuple) : void,2014/2/19 5:18,2013/7/24 5:19,Rename Variable,d4a5c5d434c33c6b614ae08ee4179661fda0d3582,Change Return Type,70f1c738c165a22a22e6ce58b18db7649e9962011,d4a5c5d434c33c6b614ae08ee4179661fda0d358,70f1c738c165a22a22e6ce58b18db7649e996201,d4a5c5d434c33c6b614ae08ee4179661fda0d358270f1c738c165a22a22e6ce58b18db7649e9962011
contrib/hourglass/src/java/datafu/hourglass/jobs/PartitionCollapsingExecutionPlanner.java\null,2013/12/6 7:45,2013/10/18 5:05,Extract Method,76413325d7715120c0f974b92fce46d5791b53012,Extract Variable,6b1f49621b4cd75c7307c92a4023916ffbb9a4d60,76413325d7715120c0f974b92fce46d5791b5301,6b1f49621b4cd75c7307c92a4023916ffbb9a4d6,76413325d7715120c0f974b92fce46d5791b530126b1f49621b4cd75c7307c92a4023916ffbb9a4d60
contrib/hourglass/src/java/datafu/hourglass/jobs/PartitionCollapsingExecutionPlanner.java\null,2013/12/6 7:45,2013/10/18 5:05,Extract Method,76413325d7715120c0f974b92fce46d5791b53013,Extract Variable,6b1f49621b4cd75c7307c92a4023916ffbb9a4d60,76413325d7715120c0f974b92fce46d5791b5301,6b1f49621b4cd75c7307c92a4023916ffbb9a4d6,76413325d7715120c0f974b92fce46d5791b530136b1f49621b4cd75c7307c92a4023916ffbb9a4d60
