element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\null,2017/6/8 10:21,2016/10/27 18:31,Extract Variable,e2fbb861389ebfeb7d0c96743f7a79b185857e435,Extract Variable,f077777066c6bdc53bbe3004555ff3f24953ed250,e2fbb861389ebfeb7d0c96743f7a79b185857e43,f077777066c6bdc53bbe3004555ff3f24953ed25,e2fbb861389ebfeb7d0c96743f7a79b185857e435f077777066c6bdc53bbe3004555ff3f24953ed250
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\public execute(input Tuple) : void,2017/6/8 10:21,2016/12/5 14:12,Extract Variable,e2fbb861389ebfeb7d0c96743f7a79b185857e435,Extract Variable,1c81c0865c70b9a0a91b86d7813be923e86e1dba6,e2fbb861389ebfeb7d0c96743f7a79b185857e43,1c81c0865c70b9a0a91b86d7813be923e86e1dba,e2fbb861389ebfeb7d0c96743f7a79b185857e4351c81c0865c70b9a0a91b86d7813be923e86e1dba6
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\public execute(input Tuple) : void,2017/6/8 10:21,2016/12/5 14:12,Extract Variable,e2fbb861389ebfeb7d0c96743f7a79b185857e435,Change Variable Type,1c81c0865c70b9a0a91b86d7813be923e86e1dba7,e2fbb861389ebfeb7d0c96743f7a79b185857e43,1c81c0865c70b9a0a91b86d7813be923e86e1dba,e2fbb861389ebfeb7d0c96743f7a79b185857e4351c81c0865c70b9a0a91b86d7813be923e86e1dba7
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\public execute(input Tuple) : void,2017/6/8 10:21,2016/10/27 18:31,Extract Variable,e2fbb861389ebfeb7d0c96743f7a79b185857e435,Extract Variable,f077777066c6bdc53bbe3004555ff3f24953ed250,e2fbb861389ebfeb7d0c96743f7a79b185857e43,f077777066c6bdc53bbe3004555ff3f24953ed25,e2fbb861389ebfeb7d0c96743f7a79b185857e435f077777066c6bdc53bbe3004555ff3f24953ed250
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\public onAlertPolicyChange(pds Map<String,PolicyDefinition>, sds Map<String,StreamDefinition>) : void",2017/6/8 10:21,2017/5/5 13:02,Move And Inline Method,e2fbb861389ebfeb7d0c96743f7a79b185857e436,Add Method Modifier,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b5,e2fbb861389ebfeb7d0c96743f7a79b185857e43,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,e2fbb861389ebfeb7d0c96743f7a79b185857e4368da06636b8e3834f7bebf6b1af923ad24b7d6d8b5
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\public onAlertPolicyChange(pds Map<String,PolicyDefinition>, sds Map<String,StreamDefinition>) : void",2017/6/8 10:21,2017/5/5 13:02,Move And Inline Method,e2fbb861389ebfeb7d0c96743f7a79b185857e437,Add Method Modifier,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b5,e2fbb861389ebfeb7d0c96743f7a79b185857e43,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,e2fbb861389ebfeb7d0c96743f7a79b185857e4378da06636b8e3834f7bebf6b1af923ad24b7d6d8b5
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/JobAnalyzer.java\public analyze(analyzerEntity T) : void,2017/5/19 18:07,2017/1/20 11:14,Change Return Type,43bd197d6a2fdbb3781cf7d91928be404ae941aa0,Rename Method,eae6e8f11367c397c3a9ce39f2c59cf341f3384716,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa0eae6e8f11367c397c3a9ce39f2c59cf341f3384716
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/JobAnalyzer.java\public analyze(analyzerEntity T) : void,2017/5/19 18:07,2017/1/20 11:14,Change Return Type,43bd197d6a2fdbb3781cf7d91928be404ae941aa0,Change Parameter Type,eae6e8f11367c397c3a9ce39f2c59cf341f3384717,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa0eae6e8f11367c397c3a9ce39f2c59cf341f3384717
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/mr/MRJobPerformanceAnalyzer.java\public analyze(analyzerJobEntity T) : void,2017/5/19 18:07,2017/1/20 11:14,Change Return Type,43bd197d6a2fdbb3781cf7d91928be404ae941aa1,Rename Method,eae6e8f11367c397c3a9ce39f2c59cf341f338471,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa1eae6e8f11367c397c3a9ce39f2c59cf341f338471
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/mr/MRJobPerformanceAnalyzer.java\public analyze(analyzerJobEntity T) : void,2017/5/19 18:07,2017/1/20 11:14,Change Return Type,43bd197d6a2fdbb3781cf7d91928be404ae941aa1,Extract Variable,eae6e8f11367c397c3a9ce39f2c59cf341f338472,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa1eae6e8f11367c397c3a9ce39f2c59cf341f338472
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/mr/MRJobPerformanceAnalyzer.java\public analyze(analyzerJobEntity T) : void,2017/5/19 18:07,2017/1/20 11:14,Change Return Type,43bd197d6a2fdbb3781cf7d91928be404ae941aa1,Change Parameter Type,eae6e8f11367c397c3a9ce39f2c59cf341f338473,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa1eae6e8f11367c397c3a9ce39f2c59cf341f338473
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\null,2017/5/19 18:07,2017/3/7 10:07,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Extract Variable,d766f68152d6cd120d3d0487907f7ee85f7a614a21,43bd197d6a2fdbb3781cf7d91928be404ae941aa,d766f68152d6cd120d3d0487907f7ee85f7a614a,43bd197d6a2fdbb3781cf7d91928be404ae941aa2d766f68152d6cd120d3d0487907f7ee85f7a614a21
eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\null,2017/5/19 18:07,2017/1/20 11:14,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Inline Variable,eae6e8f11367c397c3a9ce39f2c59cf341f338474,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa2eae6e8f11367c397c3a9ce39f2c59cf341f338474
"eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\public publish(analyzerJobEntity AnalyzerEntity, result Result) : void",2017/5/19 18:07,2017/3/7 21:16,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Inline Variable,25dfff7b092c7a65df167ba8e98094d2c03067210,43bd197d6a2fdbb3781cf7d91928be404ae941aa,25dfff7b092c7a65df167ba8e98094d2c0306721,43bd197d6a2fdbb3781cf7d91928be404ae941aa225dfff7b092c7a65df167ba8e98094d2c03067210
"eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\public publish(analyzerJobEntity AnalyzerEntity, result Result) : void",2017/5/19 18:07,2017/3/7 10:07,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Extract Variable,d766f68152d6cd120d3d0487907f7ee85f7a614a21,43bd197d6a2fdbb3781cf7d91928be404ae941aa,d766f68152d6cd120d3d0487907f7ee85f7a614a,43bd197d6a2fdbb3781cf7d91928be404ae941aa2d766f68152d6cd120d3d0487907f7ee85f7a614a21
"eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\public publish(analyzerJobEntity AnalyzerEntity, result Result) : void",2017/5/19 18:07,2017/1/20 11:14,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Inline Variable,eae6e8f11367c397c3a9ce39f2c59cf341f338474,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa2eae6e8f11367c397c3a9ce39f2c59cf341f338474
"eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\public publish(analyzerJobEntity AnalyzerEntity, result Result) : void",2017/5/19 18:07,2017/1/20 11:14,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Change Variable Type,eae6e8f11367c397c3a9ce39f2c59cf341f338475,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa2eae6e8f11367c397c3a9ce39f2c59cf341f338475
"eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\public publish(analyzerJobEntity AnalyzerEntity, result Result) : void",2017/5/19 18:07,2017/1/20 11:14,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Change Variable Type,eae6e8f11367c397c3a9ce39f2c59cf341f338476,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa2eae6e8f11367c397c3a9ce39f2c59cf341f338476
"eagle-jpm/eagle-jpm-analyzer/src/main/java/org/apache/eagle/jpm/analyzer/publisher/EmailPublisher.java\public publish(analyzerJobEntity AnalyzerEntity, result Result) : void",2017/5/19 18:07,2017/1/20 11:14,Inline Method,43bd197d6a2fdbb3781cf7d91928be404ae941aa2,Rename Variable,eae6e8f11367c397c3a9ce39f2c59cf341f338477,43bd197d6a2fdbb3781cf7d91928be404ae941aa,eae6e8f11367c397c3a9ce39f2c59cf341f33847,43bd197d6a2fdbb3781cf7d91928be404ae941aa2eae6e8f11367c397c3a9ce39f2c59cf341f338477
eagle-jpm/eagle-jpm-entity/src/main/java/org/apache/eagle/jpm/mr/historyentity/JobSuggestionAPIEntity.java\org.apache.eagle.jpm.mr.historyentity.JobSuggestionAPIEntity,2017/5/19 18:07,2017/2/21 15:57,Modify Class Annotation,43bd197d6a2fdbb3781cf7d91928be404ae941aa3,Modify Class Annotation,45a6493999853328b89c16cd1dbc462a4315953a5,43bd197d6a2fdbb3781cf7d91928be404ae941aa,45a6493999853328b89c16cd1dbc462a4315953a,43bd197d6a2fdbb3781cf7d91928be404ae941aa345a6493999853328b89c16cd1dbc462a4315953a5
"eagle-core/eagle-metadata/eagle-metadata-base/src/main/java/org/apache/eagle/metadata/model/MetricSchemaEntity.java\@Tags({""site"",""site"",""group""})",2017/5/19 13:55,2017/2/28 14:33,Modify Class Annotation,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5770,Modify Class Annotation,6e0fc410d4d148eba238c86d3bb7b2be507f6d8221,af9b056dc453f46c6a2aeb92d8dd6fe503f1b577,6e0fc410d4d148eba238c86d3bb7b2be507f6d82,af9b056dc453f46c6a2aeb92d8dd6fe503f1b57706e0fc410d4d148eba238c86d3bb7b2be507f6d8221
eagle-core/eagle-metadata/eagle-metadata-base/src/main/java/org/apache/eagle/metadata/model/MetricSchemaEntity.java\org.apache.eagle.metadata.model.MetricSchemaEntity,2017/5/19 13:55,2017/2/28 14:33,Modify Class Annotation,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5770,Modify Class Annotation,6e0fc410d4d148eba238c86d3bb7b2be507f6d8221,af9b056dc453f46c6a2aeb92d8dd6fe503f1b577,6e0fc410d4d148eba238c86d3bb7b2be507f6d82,af9b056dc453f46c6a2aeb92d8dd6fe503f1b57706e0fc410d4d148eba238c86d3bb7b2be507f6d8221
