element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Rename Method,d725bc4ea931a90b2586785d163edd11fa025ea92,Change Return Type,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f4
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Rename Method,d725bc4ea931a90b2586785d163edd11fa025ea92,Change Method Access Modifier,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f5
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Rename Method,d725bc4ea931a90b2586785d163edd11fa025ea92,Move Method,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f6
app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public executeIndexOperationNow(op IndexOperation) : void,2023/3/9 22:56,2023/3/9 4:41,Change Method Access Modifier,d725bc4ea931a90b2586785d163edd11fa025ea93,Remove Method Annotation,85be536308b6d0f0179b71e56eed17efa366ec0a46
app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\SearchResult,2023/3/9 22:56,2023/3/9 21:00,Change Return Type,d725bc4ea931a90b2586785d163edd11fa025ea94,Change Return Type,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f4
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Change Return Type,d725bc4ea931a90b2586785d163edd11fa025ea94,Change Return Type,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f4
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Change Return Type,d725bc4ea931a90b2586785d163edd11fa025ea94,Change Method Access Modifier,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f5
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Change Return Type,d725bc4ea931a90b2586785d163edd11fa025ea94,Move Method,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f6
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Change Method Access Modifier,d725bc4ea931a90b2586785d163edd11fa025ea95,Change Return Type,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f4
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\public convertHitsToEntries(hits ScoreDoc[], search SearchOperation, pageNum int, weblogHandle String, websiteSpecificSearch boolean, urlStrategy URLStrategy) : SearchResult",2023/3/9 22:56,2023/3/9 21:00,Change Method Access Modifier,d725bc4ea931a90b2586785d163edd11fa025ea95,Change Method Access Modifier,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f5
