numberOfRefactoryInACommit,numberOfCombination
0,1293
1,151
2,60
3,47
4,29
5,17
6,12
7,13
8,9
9,3
10,8
11,1
12,6
13,3
14,1
15,5
16,3
17,1
18,2
19,3
20,1
22,2
23,1
25,1
28,1
33,1
48,1
