numberOfRefactoryInACommit,numberOfCombination
0,3166
1,530
2,266
3,153
4,102
5,69
6,49
7,27
8,26
9,20
10,18
11,12
12,9
13,21
14,9
15,4
16,6
17,11
18,4
19,5
20,6
21,3
22,4
23,1
24,1
25,1
26,1
27,1
31,1
32,2
36,1
39,1
