numberOfRefactoryInACommit,numberOfCombination
0,1626
1,311
2,147
3,85
4,55
5,37
6,35
7,23
8,14
9,14
10,12
11,10
12,6
13,6
14,3
15,3
16,2
17,1
18,2
19,1
20,4
21,1
22,1
23,2
24,1
25,1
30,1
37,1
39,2
