numberOfRefactoryInACommit,numberOfCombination
0,1580
1,248
2,104
3,80
4,57
5,44
6,33
7,24
8,21
9,24
10,20
11,8
12,17
13,13
14,4
15,6
16,2
17,6
18,5
19,4
20,1
21,4
22,4
23,2
31,1
38,1
