numberOfRefactoryInACommit,numberOfCombination
0,3733
1,833
2,365
3,183
4,166
5,99
6,76
7,58
8,42
9,34
10,27
11,22
12,8
13,17
14,9
15,8
16,7
17,6
18,4
19,2
20,2
21,6
22,3
23,2
24,1
25,4
26,3
28,2
35,1
37,1
