numberOfRefactoryInACommit,numberOfCombination
0,1169
64,1
1,352
2,197
3,131
4,94
5,54
6,44
7,34
8,25
9,27
10,21
11,8
12,7
13,11
14,14
15,7
16,5
17,3
18,3
19,5
20,4
21,3
22,6
23,1
24,8
25,4
26,2
28,2
30,4
31,2
35,2
36,1
41,2
45,1
46,1
49,1
