numberOfRefactoryInACommit,numberOfCombination
0,3795
1,910
2,498
3,301
4,192
5,151
6,105
7,96
8,66
9,67
10,54
11,29
12,23
13,26
14,22
15,16
16,15
17,17
18,13
19,4
20,6
21,7
22,7
23,4
24,5
25,3
26,2
27,2
28,2
29,2
30,2
31,2
32,1
33,3
34,2
38,1
