type of refactory in a commit,the number of commit
0,1016
1,53
2,27
3,8
4,21
5,9
6,10
7,6
8,6
9,1
10,4
11,3
12,2
13,2
14,1
15,2
16,2
17,2
18,2
19,4
20,1
21,4
22,1
24,2
25,1
26,2
27,1
29,1
32,1
33,2
35,1
42,1
44,1
45,1
50,1
51,1
55,1
61,1
66,1
72,1
73,1
79,1
82,2
84,1
88,1
96,1
98,1
143,1
199,1
274,1
469,1
564,1
9944,1
