numberOfRefactoryInACommit,numberOfCombination
0,6308
1,671
2,309
3,156
4,126
5,71
6,60
7,38
8,36
9,38
10,23
11,17
12,7
13,16
14,15
15,14
16,7
17,7
18,5
19,3
20,1
21,2
22,1
23,4
24,1
25,2
26,1
27,1
28,2
32,1
35,2
41,1
