numberOfRefactoryInACommit,numberOfCombination
0,2171
1,394
2,190
3,79
4,68
5,35
6,28
38,1
7,21
8,15
9,15
10,5
11,6
12,10
13,7
14,3
15,1
16,2
17,3
18,2
20,1
21,1
