type of refactory in a commit,the number of commit
0,1687
1,233
2,113
3,72
4,58
5,25
6,24
7,12
8,22
9,12
10,7
11,5
12,8
13,7
14,6
15,5
16,6
17,4
18,2
19,5
20,2
21,2
22,3
23,5
24,4
25,4
26,2
27,2
28,1
29,1
30,3
31,2
32,1
33,1
35,2
36,1
37,1
40,2
41,2
45,1
46,1
50,2
51,4
52,2
68,1
84,1
86,1
141,1
170,1
180,1
186,1
318,1
