numberOfRefactoryInACommit,numberOfCombination
0,1825
1,225
2,111
3,74
4,57
5,30
6,24
7,26
8,20
9,16
10,10
11,5
12,11
13,6
14,5
15,6
16,3
17,7
19,1
20,2
22,2
23,1
24,1
26,1
27,1
29,2
32,3
34,1
36,1
