numberOfRefactoryInACommit,numberOfCombination
0,3262
1,863
2,362
3,210
4,156
5,118
6,81
7,59
8,27
9,32
10,26
11,16
12,11
13,12
14,4
15,6
16,6
17,9
18,3
19,1
20,1
21,1
22,2
23,4
25,1
26,2
33,1
