type of refactory in a commit,the number of commit
0,642
1,76
2,48
3,32
4,12
5,27
6,19
7,6
8,9
9,7
10,6
11,6
12,3
13,7
14,6
15,3
16,1
17,4
18,4
19,2
20,3
21,2
22,2
24,2
25,2
26,2
27,3
28,2
30,1
32,1
33,1
34,3
35,2
36,1
38,3
39,1
40,3
42,1
43,2
45,2
46,1
57,2
61,1
62,2
63,1
66,1
72,1
77,1
78,1
79,1
88,1
93,1
115,1
148,1
190,1
690,1
