numberOfRefactoryInACommit,numberOfCombination
0,1598
32,1
1,282
2,145
3,92
4,46
5,49
6,36
7,17
8,23
9,21
10,13
11,7
12,6
13,7
14,7
15,3
16,9
17,2
18,3
19,1
20,1
21,3
23,1
