numberOfRefactoryInACommit,numberOfCombination
0,4136
1,1007
2,565
3,336
4,280
5,160
6,125
7,83
8,51
9,40
10,35
11,28
12,25
13,14
14,14
15,9
16,7
17,3
18,3
19,2
20,3
21,3
22,3
25,2
26,2
27,1
28,1
29,1
30,1
32,1
36,1
