numberOfRefactoryInACommit,numberOfCombination
0,1204
1,318
2,137
3,89
4,70
5,44
6,39
7,24
8,21
9,16
10,11
11,12
12,10
13,12
14,13
15,7
16,3
17,5
18,4
19,1
20,1
21,2
22,2
24,3
25,1
26,1
29,1
37,1
