type of refactory in a commit,the number of commit
0,1388
1,78
2,50
3,16
4,21
5,8
6,6
7,6
8,5
9,4
10,2
11,4
12,1
13,3
14,1
15,1
16,2
17,2
18,1
19,1
21,1
23,3
25,1
26,1
30,1
33,1
40,1
41,1
42,1
43,1
48,1
50,1
54,1
60,1
63,1
73,1
77,1
99,1
140,1
386,1
698,1
