numberOfRefactoryInACommit,numberOfCombination
0,1553
1,351
2,165
3,106
4,45
5,36
6,31
7,22
8,21
9,6
10,19
11,9
12,5
13,3
14,1
15,2
16,1
17,3
20,2
22,2
23,1
29,1
