numberOfRefactoryInACommit,numberOfCombination
0,1906
1,351
2,136
3,108
4,64
5,44
6,27
7,26
8,20
9,22
10,13
11,10
12,9
13,7
14,4
15,4
16,3
17,2
18,1
19,1
20,1
21,1
22,1
23,1
24,1
28,1
