numberOfRefactoryInACommit,numberOfCombination
0,1145
1,233
2,94
3,65
4,37
5,23
37,1
6,10
7,19
8,4
9,5
10,6
11,6
12,4
13,2
14,3
15,4
16,1
17,2
20,1
21,1
22,2
23,1
24,1
