numberOfRefactoryInACommit,numberOfCombination
0,15181
1,3108
2,1212
3,615
4,370
5,300
6,148
7,121
8,90
9,65
10,37
11,43
12,29
13,20
14,14
15,15
16,13
17,8
18,8
19,5
20,5
21,2
22,3
25,2
26,1
29,1
30,1
32,1
41,2
