buginducingRefactory,number
Modify Method Annotation,1
Change Parameter Type,21
Pull Up Attribute,3
Move Attribute,10
Extract Attribute,2
Remove Variable Modifier,1
Replace Attribute With Variable,1
Remove Parameter,3
Change Thrown Exception Type,3
Extract Variable,11
Inline Variable,2
Rename Method,17
Reorder Parameter,2
Change Attribute Access Modifier,2
Change Method Access Modifier,17
Remove Attribute Modifier,12
Extract And Move Method,3
Add Class Modifier,1
Move And Inline Method,2
Move Method,3
Add Method Modifier,8
Add Parameter Modifier,3
Extract Class,3
Remove Method Annotation,6
Encapsulate Attribute,1
Change Variable Type,62
Extract Method,11
Add Thrown Exception Type,4
Pull Up Method,14
Add Variable Modifier,53
Add Parameter,7
Rename Variable,6
Inline Method,1
Add Attribute Modifier,32
Change Return Type,36
Remove Thrown Exception Type,4
Rename Attribute,6
Extract Superclass,1
Change Class Access Modifier,1
Change Attribute Type,50
Remove Class Annotation,1
Rename Parameter,10
