element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/clientwindow/LazyClientWindow.java\protected getOrCreateWindowId(facesContext FacesContext) : String,2023/11/14 18:46,2023/3/31 0:17,Rename Method,2b57ef0b2bb738620714d75927f99ad72f23ab256,Move Method,077ff6957c3ba342c5ab5b447f5c244b7a0733fe21,2b57ef0b2bb738620714d75927f99ad72f23ab25,077ff6957c3ba342c5ab5b447f5c244b7a0733fe,2b57ef0b2bb738620714d75927f99ad72f23ab256077ff6957c3ba342c5ab5b447f5c244b7a0733fe21
deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/clientwindow/LazyClientWindow.java\protected getOrCreateWindowId(facesContext FacesContext) : String,2023/11/14 18:46,2023/3/31 0:17,Change Return Type,2b57ef0b2bb738620714d75927f99ad72f23ab257,Move Method,077ff6957c3ba342c5ab5b447f5c244b7a0733fe21,2b57ef0b2bb738620714d75927f99ad72f23ab25,077ff6957c3ba342c5ab5b447f5c244b7a0733fe,2b57ef0b2bb738620714d75927f99ad72f23ab257077ff6957c3ba342c5ab5b447f5c244b7a0733fe21
deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/clientwindow/LazyClientWindow.java\protected getOrCreateWindowId(facesContext FacesContext) : String,2023/11/14 18:46,2023/3/31 0:17,Change Method Access Modifier,2b57ef0b2bb738620714d75927f99ad72f23ab258,Move Method,077ff6957c3ba342c5ab5b447f5c244b7a0733fe21,2b57ef0b2bb738620714d75927f99ad72f23ab25,077ff6957c3ba342c5ab5b447f5c244b7a0733fe,2b57ef0b2bb738620714d75927f99ad72f23ab258077ff6957c3ba342c5ab5b447f5c244b7a0733fe21
deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/future/FutureableInterceptor.java\org.apache.deltaspike.core.impl.future.FutureableInterceptor,2023/11/12 22:11,2016/4/12 7:02,Add Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db00,Modify Class Annotation,943cf54a6838573ebf4ddf90988c12842a04b47e2,3be1a101249805caa81ffa15abc360b6d8030db0,943cf54a6838573ebf4ddf90988c12842a04b47e,3be1a101249805caa81ffa15abc360b6d8030db00943cf54a6838573ebf4ddf90988c12842a04b47e2
deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/future/FutureableInterceptor.java\org.apache.deltaspike.core.impl.future.FutureableInterceptor,2023/11/12 22:11,2016/4/12 7:02,Add Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db00,Extract Class,943cf54a6838573ebf4ddf90988c12842a04b47e7,3be1a101249805caa81ffa15abc360b6d8030db0,943cf54a6838573ebf4ddf90988c12842a04b47e,3be1a101249805caa81ffa15abc360b6d8030db00943cf54a6838573ebf4ddf90988c12842a04b47e7
deltaspike/modules/jsf/impl/src/test/java/org/apache/deltaspike/test/jsf/impl/scope/viewaccess/ViewAccessScopedWithFViewActionWebAppTest.java\@Category(WebEE7ProfileCategory.class),2023/11/12 22:11,2014/12/21 0:44,Modify Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db08,Modify Class Annotation,27b756e04827607a58b87fe580acf6a6034836a71,3be1a101249805caa81ffa15abc360b6d8030db0,27b756e04827607a58b87fe580acf6a6034836a7,3be1a101249805caa81ffa15abc360b6d8030db0827b756e04827607a58b87fe580acf6a6034836a71
deltaspike/modules/jsf/impl/src/test/java/org/apache/deltaspike/test/jsf/impl/scope/viewaccess/ViewAccessScopedWithFViewActionWebAppTest.java\org.apache.deltaspike.test.jsf.impl.scope.viewaccess.ViewAccessScopedWithFViewActionWebAppTest,2023/11/12 22:11,2015/5/5 4:24,Modify Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db08,Remove Class Annotation,320ae6e1ffb856276c4864d540d003d65d53097621,3be1a101249805caa81ffa15abc360b6d8030db0,320ae6e1ffb856276c4864d540d003d65d530976,3be1a101249805caa81ffa15abc360b6d8030db08320ae6e1ffb856276c4864d540d003d65d53097621
deltaspike/modules/jsf/impl/src/test/java/org/apache/deltaspike/test/jsf/impl/scope/viewaccess/ViewAccessScopedWithFViewActionWebAppTest.java\org.apache.deltaspike.test.jsf.impl.scope.viewaccess.ViewAccessScopedWithFViewActionWebAppTest,2023/11/12 22:11,2014/12/21 0:44,Modify Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db08,Rename Class,27b756e04827607a58b87fe580acf6a6034836a70,3be1a101249805caa81ffa15abc360b6d8030db0,27b756e04827607a58b87fe580acf6a6034836a7,3be1a101249805caa81ffa15abc360b6d8030db0827b756e04827607a58b87fe580acf6a6034836a70
deltaspike/modules/jsf/impl/src/test/java/org/apache/deltaspike/test/jsf/impl/scope/viewaccess/ViewAccessScopedWithFViewActionWebAppTest.java\org.apache.deltaspike.test.jsf.impl.scope.viewaccess.ViewAccessScopedWithFViewActionWebAppTest,2023/11/12 22:11,2014/12/21 0:44,Modify Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db08,Modify Class Annotation,27b756e04827607a58b87fe580acf6a6034836a71,3be1a101249805caa81ffa15abc360b6d8030db0,27b756e04827607a58b87fe580acf6a6034836a7,3be1a101249805caa81ffa15abc360b6d8030db0827b756e04827607a58b87fe580acf6a6034836a71
deltaspike/modules/security/impl/src/main/java/org/apache/deltaspike/security/impl/extension/SecurityInterceptor.java\org.apache.deltaspike.security.impl.extension.SecurityInterceptor,2023/11/12 22:11,2012/7/24 8:11,Add Class Annotation,3be1a101249805caa81ffa15abc360b6d8030db09,Move Class,93ffd3153de3feb3e36eae7db2307953800148d92,3be1a101249805caa81ffa15abc360b6d8030db0,93ffd3153de3feb3e36eae7db2307953800148d9,3be1a101249805caa81ffa15abc360b6d8030db0993ffd3153de3feb3e36eae7db2307953800148d92
