element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java\null,2009/6/16 15:38,2008/11/14 17:27,Extract Variable,4e618741ff1ac4a76ce3d713d221dbb9e19532fa1,Inline Method,a2d136046f67d5fb29bcb7b5b98a137d615493496
core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java\null,2009/6/16 15:38,2008/11/14 17:27,Extract Variable,4e618741ff1ac4a76ce3d713d221dbb9e19532fa1,Inline Method,a2d136046f67d5fb29bcb7b5b98a137d615493497
core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java\null,2009/6/16 15:38,2008/10/28 1:12,Extract Variable,4e618741ff1ac4a76ce3d713d221dbb9e19532fa1,Extract Variable,d63ee6f9a8029a987899f9964aca4f01a725037e0
core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java\null,2009/6/16 15:38,2008/10/28 1:12,Extract Variable,4e618741ff1ac4a76ce3d713d221dbb9e19532fa1,Extract Variable,d63ee6f9a8029a987899f9964aca4f01a725037e1
core/src/main/java/org/apache/mina/core/session/AbstractIoSession.java\null,2009/6/16 15:38,2008/10/28 1:12,Extract Variable,4e618741ff1ac4a76ce3d713d221dbb9e19532fa1,Extract Variable,d63ee6f9a8029a987899f9964aca4f01a725037e2
core/src/main/java/org/apache/mina/filter/executor/OrderedThreadPoolExecutor.java\tasksQueue : Queue<Runnable>,2009/5/14 7:13,2009/4/6 5:57,Localize Parameter,d021fc1ef7295af8a5b1a9afb3fc9f5328db53ae0,Rename Parameter,18d4e831e9c9fde8425d94b2c8b40b8c689f1eae0
core/src/main/java/org/apache/mina/filter/executor/OrderedThreadPoolExecutor.java\tasksQueue : Queue<Runnable>,2009/5/14 7:13,2009/4/6 5:57,Localize Parameter,d021fc1ef7295af8a5b1a9afb3fc9f5328db53ae0,Change Parameter Type,18d4e831e9c9fde8425d94b2c8b40b8c689f1eae1
core/src/main/java/org/apache/mina/filter/executor/OrderedThreadPoolExecutor.java\tasksQueue : Queue<Runnable>,2009/5/14 7:13,2009/4/6 5:57,Localize Parameter,d021fc1ef7295af8a5b1a9afb3fc9f5328db53ae0,Change Variable Type,18d4e831e9c9fde8425d94b2c8b40b8c689f1eae5
core/src/main/java/org/apache/mina/filter/executor/OrderedThreadPoolExecutor.java\tasksQueue : Queue<Runnable>,2009/5/14 7:13,2009/4/6 5:57,Localize Parameter,d021fc1ef7295af8a5b1a9afb3fc9f5328db53ae0,Rename Variable,18d4e831e9c9fde8425d94b2c8b40b8c689f1eae6
core/src/main/java/org/apache/mina/filter/executor/OrderedThreadPoolExecutor.java\tasksQueue : Queue<Runnable>,2009/5/14 7:13,2009/4/6 5:57,Localize Parameter,d021fc1ef7295af8a5b1a9afb3fc9f5328db53ae0,Rename Variable,18d4e831e9c9fde8425d94b2c8b40b8c689f1eae9
