time,File
200606,118
200607,0
200608,1
200609,0
200610,3
200611,2
200612,0
200701,0
200702,8
200703,2
200704,0
200705,0
200706,0
200707,2
200708,6
200709,1
200710,0
200711,0
200712,0
200801,0
200802,2
200803,1
200804,0
200805,0
200806,1
200807,0
200808,0
200809,0
200810,2
200811,2
200812,1
200901,1
200902,2
200903,3
200904,7
200905,2
200906,2
200907,1
200908,3
200909,7
200910,2
200911,0
200912,3
201001,7
201002,2
201003,0
201004,0
201005,6
201006,0
201007,2
201008,2
201009,5
201010,5
201011,1
201012,0
201101,0
201102,0
201103,0
201104,0
201105,0
201106,0
201107,1
201108,0
201109,0
201110,0
201111,1
201112,1
201201,1
201202,2
201203,0
201204,0
201205,3
201206,0
201207,1
201208,0
201209,0
201210,0
201211,0
201212,0
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201312,0
201402,2
201403,0
201404,0
201405,0
201406,0
201409,0
201410,0
201411,0
201501,0
201504,0
201505,0
201506,0
201507,0
201509,0
201511,0
201601,0
201605,0
201606,0
201608,0
201609,0
201610,0
201612,0
201702,0
201805,0
201809,0
201810,919
201811,0
201901,2
201902,0
201903,0
201904,0
201905,0
201906,0
202001,0
202003,1
202004,2
202007,0
202008,0
202009,8
202010,0
202011,1
202012,0
202103,5
202104,33
202105,2
202106,1
202107,1
202110,0
202111,0
202112,2
202211,1
202304,163
202305,6
202306,2
202307,15
202310,1
