time,refactFileRBR
200603,229
200604,1328
200605,16
200606,11
200607,79
200608,14
200609,24
200610,2
200611,10
200612,2
200701,16
200702,2
200703,17
200704,5
200705,14
200706,0
200707,0
200708,6
200709,0
200710,3
200711,3
200712,2
200801,1
200802,0
200803,0
200804,2
200805,2
200806,6
200807,3
200808,0
200811,4
200812,5
200901,0
200902,1
200903,0
200904,0
200905,0
200906,0
200907,2
200908,0
200909,0
200910,0
200911,3
201001,0
201003,0
201004,1
201005,0
201006,0
201007,0
201009,1
201010,0
201011,0
201101,1
201102,1
201103,2
201104,0
201105,0
201106,0
201107,0
201108,6
201109,3
201110,0
201111,0
201112,1
201201,0
201202,0
201203,4
201204,8
201205,1
201206,0
201207,2
201208,1
201209,4
201210,13
201211,2
201212,0
201301,2
201302,1
201303,3
201304,3
201305,2
201306,1
201307,6
201308,0
201309,1
201310,4
201311,1
201312,1
201401,3
201402,1
201403,0
201404,1
201405,2
201406,0
201407,4
201408,0
201409,0
201410,0
201411,2
201412,0
201501,0
201502,1
201503,0
201504,1
201505,11
201506,47
201507,6
201508,0
201509,2
201510,2
201511,3
201512,0
201601,10
201602,0
201603,0
201604,0
201605,1
201606,0
201607,1
201608,0
201609,1
201610,0
201611,5
201612,4
201701,1
201702,0
201703,11
201704,8
201705,2
201706,1
201707,6
201708,9
201709,2
201710,4
201711,10
201712,1
201801,13
201802,2
201803,1
201805,4
201808,0
201809,19
201810,1
201811,8
201812,13
201901,4
201902,2
201904,0
201906,0
201910,0
201912,9
202001,1
202002,2
202003,0
202004,21
202005,1
202007,0
202008,17
202011,1
202012,14
202101,12
202105,1
202106,0
202107,0
202109,3
202110,58
202111,7
202201,9
202202,5
202203,1
202205,5
202206,1
202207,2
202208,4
202209,19
202210,15
202211,22
202212,22
202301,3
202302,2
202303,18
202304,47
202305,6
202306,5
202307,2
202308,14
202309,8
202310,7
202311,4
202312,10
202401,47
202402,9
